Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,4,4
Horizontal Delay,0,0
Sample Interval,0.004,0.004
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,46.5,52
Vertical Scale,0.1,0.2
Vertical Position,1.86,2.08
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-20,0.122,0.008
-19.996,0.122,0.008
-19.992,0.122,0
-19.988,0.118,0.008
-19.984,0.118,0.008
-19.98,0.118,0
-19.976,0.114,0
-19.972,0.118,0.008
-19.968,0.118,0.008
-19.964,0.118,0.008
-19.96,0.114,0.008
-19.956,0.114,0.008
-19.952,0.11,0.008
-19.948,0.114,0.008
-19.944,0.106,0.016
-19.94,0.106,0
-19.936,0.11,0.008
-19.932,0.106,0
-19.928,0.106,0.008
-19.924,0.106,0.008
-19.92,0.11,0
-19.916,0.106,0.008
-19.912,0.106,0
-19.908,0.106,0.008
-19.904,0.11,0.008
-19.9,0.11,0.008
-19.896,0.106,0
-19.892,0.106,0.008
-19.888,0.106,0
-19.884,0.106,0.008
-19.88,0.102,0.008
-19.876,0.102,0.008
-19.872,0.102,0.008
-19.868,0.102,0.008
-19.864,0.098,0.008
-19.86,0.102,0.008
-19.856,0.102,0.008
-19.852,0.102,0.008
-19.848,0.098,0
-19.844,0.102,0.008
-19.84,0.102,0.008
-19.836,0.098,0
-19.832,0.102,0.008
-19.828,0.102,0
-19.824,0.102,0
-19.82,0.102,0.008
-19.816,0.102,0
-19.812,0.106,0
-19.808,0.102,0.008
-19.804,0.106,0
-19.8,0.102,0.008
-19.796,0.106,0
-19.792,0.102,0
-19.788,0.102,0
-19.784,0.106,0.008
-19.78,0.106,0
-19.776,0.102,0.008
-19.772,0.098,0.008
-19.768,0.098,0
-19.764,0.098,0
-19.76,0.098,0.008
-19.756,0.098,0
-19.752,0.098,0
-19.748,0.094,0.008
-19.744,0.098,0.008
-19.74,0.098,0.008
-19.736,0.098,0.008
-19.732,0.098,0
-19.728,0.098,0
-19.724,0.094,0.008
-19.72,0.098,0.008
-19.716,0.098,0.008
-19.712,0.098,0
-19.708,0.094,0.008
-19.704,0.098,0.008
-19.7,0.094,0
-19.696,0.094,0
-19.692,0.098,0.008
-19.688,0.094,0.008
-19.684,0.094,0.008
-19.68,0.094,0.008
-19.676,0.094,0
-19.672,0.09,0
-19.668,0.094,0
-19.664,0.09,0
-19.66,0.09,0
-19.656,0.09,0
-19.652,0.09,0
-19.648,0.09,0
-19.644,0.09,0
-19.64,0.09,0.008
-19.636,0.09,0.008
-19.632,0.09,0
-19.628,0.09,0
-19.624,0.09,0.008
-19.62,0.09,0.008
-19.616,0.094,0.008
-19.612,0.09,0
-19.608,0.09,0
-19.604,0.09,0
-19.6,0.086,0.008
-19.596,0.09,0.008
-19.592,0.09,0
-19.588,0.09,0.008
-19.584,0.09,0
-19.58,0.086,0.008
-19.576,0.086,0.008
-19.572,0.09,0
-19.568,0.086,0.008
-19.564,0.086,0
-19.56,0.09,0
-19.556,0.09,0.008
-19.552,0.086,0
-19.548,0.086,-0.008
-19.544,0.082,0
-19.54,0.086,0
-19.536,0.082,0
-19.532,0.082,0.008
-19.528,0.086,0
-19.524,0.086,0.008
-19.52,0.086,0.008
-19.516,0.086,0.008
-19.512,0.086,0
-19.508,0.09,0
-19.504,0.086,0.008
-19.5,0.086,0.008
-19.496,0.086,0.016
-19.492,0.086,0
-19.488,0.086,0
-19.484,0.086,0.008
-19.48,0.09,-0.008
-19.476,0.086,0.008
-19.472,0.086,0.008
-19.468,0.09,0.008
-19.464,0.086,0
-19.46,0.086,0.008
-19.456,0.086,0.008
-19.452,0.086,0.008
-19.448,0.086,0.008
-19.444,0.082,0
-19.44,0.09,0.008
-19.436,0.086,0.008
-19.432,0.086,0
-19.428,0.086,0
-19.424,0.082,0
-19.42,0.082,0.008
-19.416,0.086,0
-19.412,0.086,0
-19.408,0.082,0
-19.404,0.086,0
-19.4,0.082,0
-19.396,0.082,0.008
-19.392,0.086,0
-19.388,0.082,0
-19.384,0.086,0
-19.38,0.082,0
-19.376,0.082,0.008
-19.372,0.082,0
-19.368,0.078,0
-19.364,0.078,0
-19.36,0.078,0.008
-19.356,0.078,0
-19.352,0.078,0
-19.348,0.074,0.008
-19.344,0.078,0.008
-19.34,0.074,0.016
-19.336,0.078,0.008
-19.332,0.074,0.008
-19.328,0.078,0.008
-19.324,0.074,0.008
-19.32,0.078,0.008
-19.316,0.074,0
-19.312,0.074,0
-19.308,0.078,0.008
-19.304,0.074,0
-19.3,0.078,0.008
-19.296,0.078,0.008
-19.292,0.082,0.008
-19.288,0.082,-0.008
-19.284,0.078,0
-19.28,0.082,0
-19.276,0.082,0
-19.272,0.078,0.008
-19.268,0.082,0.008
-19.264,0.078,0
-19.26,0.082,0
-19.256,0.082,0.008
-19.252,0.078,-0.008
-19.248,0.086,0
-19.244,0.082,0
-19.24,0.078,0
-19.236,0.082,0
-19.232,0.082,0.008
-19.228,0.078,0.008
-19.224,0.078,0.008
-19.22,0.082,0
-19.216,0.082,0.008
-19.212,0.082,0.008
-19.208,0.082,0
-19.204,0.082,0
-19.2,0.082,0
-19.196,0.078,0
-19.192,0.082,0.008
-19.188,0.078,0
-19.184,0.078,0
-19.18,0.078,0
-19.176,0.078,0
-19.172,0.082,0
-19.168,0.078,0.008
-19.164,0.078,0.008
-19.16,0.082,0
-19.156,0.078,0
-19.152,0.082,0
-19.148,0.078,0
-19.144,0.078,0
-19.14,0.082,0
-19.136,0.078,0.008
-19.132,0.082,0
-19.128,0.078,0.008
-19.124,0.078,0
-19.12,0.078,0
-19.116,0.078,0
-19.112,0.082,0
-19.108,0.078,0
-19.104,0.078,0
-19.1,0.082,0
-19.096,0.078,0.008
-19.092,0.078,0
-19.088,0.074,0
-19.084,0.078,0
-19.08,0.078,0
-19.076,0.078,0
-19.072,0.078,0.008
-19.068,0.074,0
-19.064,0.078,0
-19.06,0.078,0
-19.056,0.078,0
-19.052,0.078,0
-19.048,0.078,-0.008
-19.044,0.078,0
-19.04,0.082,0
-19.036,0.078,0
-19.032,0.078,0
-19.028,0.078,0
-19.024,0.078,0
-19.02,0.078,0
-19.016,0.078,0
-19.012,0.078,0
-19.008,0.078,0
-19.004,0.078,0
-19,0.078,0
-18.996,0.078,0
-18.992,0.078,0
-18.988,0.078,-0.008
-18.984,0.078,0
-18.98,0.078,-0.008
-18.976,0.082,0
-18.972,0.082,0
-18.968,0.078,0
-18.964,0.082,0
-18.96,0.078,0
-18.956,0.078,0
-18.952,0.082,0
-18.948,0.078,0
-18.944,0.078,0
-18.94,0.078,0
-18.936,0.078,0
-18.932,0.078,0
-18.928,0.078,0.008
-18.924,0.082,0
-18.92,0.078,0
-18.916,0.078,0
-18.912,0.078,0
-18.908,0.078,0
-18.904,0.082,-0.008
-18.9,0.082,0
-18.896,0.082,0
-18.892,0.082,0
-18.888,0.078,0
-18.884,0.082,0
-18.88,0.082,0
-18.876,0.082,0
-18.872,0.082,0.008
-18.868,0.082,0
-18.864,0.082,0
-18.86,0.082,-0.008
-18.856,0.082,0
-18.852,0.082,0
-18.848,0.078,0
-18.844,0.078,-0.008
-18.84,0.082,-0.008
-18.836,0.082,0
-18.832,0.078,-0.008
-18.828,0.078,0
-18.824,0.078,-0.008
-18.82,0.082,0
-18.816,0.078,-0.008
-18.812,0.078,0
-18.808,0.074,0
-18.804,0.078,0
-18.8,0.074,0
-18.796,0.078,0
-18.792,0.078,-0.008
-18.788,0.074,0
-18.784,0.074,0
-18.78,0.074,0
-18.776,0.07,-0.008
-18.772,0.074,0
-18.768,0.074,0
-18.764,0.074,0
-18.76,0.07,0
-18.756,0.07,0
-18.752,0.07,0
-18.748,0.07,-0.008
-18.744,0.074,0
-18.74,0.07,0
-18.736,0.07,0
-18.732,0.07,0
-18.728,0.074,0
-18.724,0.07,0
-18.72,0.07,0
-18.716,0.07,0
-18.712,0.07,0
-18.708,0.07,0
-18.704,0.074,0
-18.7,0.07,-0.008
-18.696,0.074,0
-18.692,0.07,0
-18.688,0.07,0
-18.684,0.07,-0.008
-18.68,0.07,-0.008
-18.676,0.074,0
-18.672,0.07,0
-18.668,0.07,-0.008
-18.664,0.07,0
-18.66,0.07,0.008
-18.656,0.07,0
-18.652,0.07,-0.008
-18.648,0.07,0
-18.644,0.07,0
-18.64,0.07,0.008
-18.636,0.07,0
-18.632,0.07,0
-18.628,0.07,-0.008
-18.624,0.07,0
-18.62,0.07,0
-18.616,0.07,0
-18.612,0.07,0
-18.608,0.074,0
-18.604,0.07,-0.008
-18.6,0.07,0.008
-18.596,0.074,0
-18.592,0.07,0
-18.588,0.07,0
-18.584,0.07,0
-18.58,0.07,0
-18.576,0.07,0.008
-18.572,0.07,0
-18.568,0.074,0.008
-18.564,0.07,0
-18.56,0.07,0
-18.556,0.07,0.008
-18.552,0.07,0
-18.548,0.07,0
-18.544,0.07,0
-18.54,0.07,0
-18.536,0.07,-0.008
-18.532,0.07,0.008
-18.528,0.07,0
-18.524,0.07,0
-18.52,0.07,0
-18.516,0.07,0
-18.512,0.07,0.008
-18.508,0.07,0
-18.504,0.07,0.008
-18.5,0.07,0.008
-18.496,0.07,0
-18.492,0.07,0
-18.488,0.07,0
-18.484,0.07,0
-18.48,0.07,0.008
-18.476,0.07,0
-18.472,0.07,0
-18.468,0.07,0
-18.464,0.07,0
-18.46,0.07,0
-18.456,0.07,0
-18.452,0.07,0
-18.448,0.07,0
-18.444,0.07,0
-18.44,0.07,0
-18.436,0.07,0
-18.432,0.07,0
-18.428,0.07,0
-18.424,0.07,0
-18.42,0.07,0
-18.416,0.07,0.008
-18.412,0.07,0
-18.408,0.066,0
-18.404,0.066,0.008
-18.4,0.07,0
-18.396,0.066,0
-18.392,0.07,0
-18.388,0.066,0
-18.384,0.07,0.008
-18.38,0.066,0
-18.376,0.066,0
-18.372,0.066,0
-18.368,0.066,0
-18.364,0.066,0
-18.36,0.066,0
-18.356,0.066,0.008
-18.352,0.066,0.008
-18.348,0.066,0.008
-18.344,0.062,0
-18.34,0.066,0
-18.336,0.066,0
-18.332,0.066,0.008
-18.328,0.062,0
-18.324,0.062,0
-18.32,0.062,0.008
-18.316,0.066,0.008
-18.312,0.066,0
-18.308,0.062,0
-18.304,0.066,0
-18.3,0.062,0
-18.296,0.062,0
-18.292,0.062,0
-18.288,0.066,0.008
-18.284,0.062,0
-18.28,0.062,0
-18.276,0.062,0.008
-18.272,0.062,0
-18.268,0.058,0
-18.264,0.058,0
-18.26,0.062,0.008
-18.256,0.058,0
-18.252,0.062,0
-18.248,0.062,0.008
-18.244,0.058,0
-18.24,0.058,0.008
-18.236,0.062,0
-18.232,0.058,0.008
-18.228,0.062,0
-18.224,0.058,0.008
-18.22,0.062,0.008
-18.216,0.058,0
-18.212,0.062,0.008
-18.208,0.058,0
-18.204,0.058,0.008
-18.2,0.062,0
-18.196,0.062,0
-18.192,0.058,0
-18.188,0.062,0
-18.184,0.062,0.008
-18.18,0.062,0
-18.176,0.058,0.008
-18.172,0.062,0
-18.168,0.058,0
-18.164,0.062,0
-18.16,0.062,0
-18.156,0.058,0.008
-18.152,0.062,0
-18.148,0.058,0.008
-18.144,0.058,0
-18.14,0.058,0
-18.136,0.058,0
-18.132,0.062,0.008
-18.128,0.058,0.008
-18.124,0.058,0
-18.12,0.058,0
-18.116,0.058,0.008
-18.112,0.058,0.008
-18.108,0.066,0
-18.104,0.058,0.008
-18.1,0.062,0.008
-18.096,0.058,0
-18.092,0.062,0
-18.088,0.058,0
-18.084,0.058,0
-18.08,0.058,0
-18.076,0.058,0
-18.072,0.062,0
-18.068,0.058,0.008
-18.064,0.062,0.008
-18.06,0.058,0
-18.056,0.062,0
-18.052,0.058,0
-18.048,0.058,0
-18.044,0.058,0
-18.04,0.058,0
-18.036,0.054,0.008
-18.032,0.058,0
-18.028,0.058,0.008
-18.024,0.058,-0.008
-18.02,0.058,0
-18.016,0.058,0
-18.012,0.062,0
-18.008,0.058,0
-18.004,0.058,0
-18,0.058,0
-17.996,0.058,0.008
-17.992,0.058,0
-17.988,0.058,-0.008
-17.984,0.058,0
-17.98,0.054,0
-17.976,0.054,0
-17.972,0.058,0.008
-17.968,0.058,0
-17.964,0.054,0
-17.96,0.058,0
-17.956,0.054,0.008
-17.952,0.054,0
-17.948,0.054,0
-17.944,0.054,0
-17.94,0.058,0
-17.936,0.058,0
-17.932,0.058,0
-17.928,0.058,0.008
-17.924,0.058,0
-17.92,0.058,0.008
-17.916,0.058,0
-17.912,0.05,0
-17.908,0.058,0
-17.904,0.054,0.008
-17.9,0.054,0
-17.896,0.058,0.008
-17.892,0.058,0.008
-17.888,0.058,0
-17.884,0.058,0
-17.88,0.058,0.008
-17.876,0.058,0
-17.872,0.058,0
-17.868,0.058,0
-17.864,0.058,0
-17.86,0.058,0
-17.856,0.058,0
-17.852,0.058,0.008
-17.848,0.058,0
-17.844,0.054,0
-17.84,0.058,0
-17.836,0.058,0
-17.832,0.054,0
-17.828,0.058,0
-17.824,0.058,0.008
-17.82,0.054,0
-17.816,0.054,0.008
-17.812,0.058,0
-17.808,0.054,0
-17.804,0.058,0.008
-17.8,0.054,0
-17.796,0.054,-0.008
-17.792,0.054,0
-17.788,0.054,0
-17.784,0.054,0
-17.78,0.05,0
-17.776,0.05,0
-17.772,0.054,0
-17.768,0.05,0
-17.764,0.05,0.008
-17.76,0.054,0
-17.756,0.054,0
-17.752,0.05,0.008
-17.748,0.05,0
-17.744,0.054,0
-17.74,0.054,0
-17.736,0.05,0
-17.732,0.054,0
-17.728,0.05,0.008
-17.724,0.054,0.008
-17.72,0.05,0
-17.716,0.05,0
-17.712,0.05,0
-17.708,0.05,0
-17.704,0.05,0
-17.7,0.05,0.008
-17.696,0.05,0.008
-17.692,0.05,0.008
-17.688,0.05,0
-17.684,0.05,0
-17.68,0.046,0.008
-17.676,0.046,0
-17.672,0.046,0.008
-17.668,0.05,0.008
-17.664,0.042,0.008
-17.66,0.046,0
-17.656,0.046,0.008
-17.652,0.046,0.008
-17.648,0.046,0
-17.644,0.046,0.008
-17.64,0.046,0
-17.636,0.05,0
-17.632,0.046,0
-17.628,0.046,0.008
-17.624,0.05,0.008
-17.62,0.05,0
-17.616,0.046,0
-17.612,0.046,0
-17.608,0.046,0.008
-17.604,0.046,0.008
-17.6,0.046,0
-17.596,0.046,0.008
-17.592,0.046,0
-17.588,0.046,0
-17.584,0.042,0.008
-17.58,0.046,0.008
-17.576,0.042,0
-17.572,0.046,0
-17.568,0.046,0.008
-17.564,0.042,0.008
-17.56,0.042,0
-17.556,0.046,0.008
-17.552,0.046,0.008
-17.548,0.046,0.008
-17.544,0.046,0.008
-17.54,0.042,0
-17.536,0.042,0
-17.532,0.042,0.008
-17.528,0.042,0.008
-17.524,0.042,0
-17.52,0.042,0
-17.516,0.042,0
-17.512,0.042,0
-17.508,0.042,0.008
-17.504,0.042,0
-17.5,0.042,0
-17.496,0.046,0.008
-17.492,0.042,0
-17.488,0.042,0.008
-17.484,0.042,0
-17.48,0.042,0.008
-17.476,0.042,0.008
-17.472,0.038,0
-17.468,0.042,0.008
-17.464,0.042,0.008
-17.46,0.042,0.008
-17.456,0.038,0.016
-17.452,0.038,0.008
-17.448,0.042,0.008
-17.444,0.042,0
-17.44,0.042,0.008
-17.436,0.042,0.008
-17.432,0.042,0
-17.428,0.042,0.008
-17.424,0.042,0.016
-17.42,0.042,0.016
-17.416,0.042,0.008
-17.412,0.038,0.008
-17.408,0.038,0.008
-17.404,0.038,0.008
-17.4,0.042,0.008
-17.396,0.042,0.008
-17.392,0.038,0.008
-17.388,0.042,0.016
-17.384,0.038,0.016
-17.38,0.038,0.008
-17.376,0.034,0.008
-17.372,0.038,0.016
-17.368,0.038,0.008
-17.364,0.034,0.008
-17.36,0.038,0.008
-17.356,0.034,0.008
-17.352,0.038,0.016
-17.348,0.034,0.008
-17.344,0.038,0.008
-17.34,0.034,0.008
-17.336,0.03,0.016
-17.332,0.038,0.008
-17.328,0.034,0.008
-17.324,0.034,0.008
-17.32,0.03,0.008
-17.316,0.03,0.008
-17.312,0.03,0.016
-17.308,0.03,0.008
-17.304,0.03,0.016
-17.3,0.03,0.008
-17.296,0.026,0.008
-17.292,0.03,0.008
-17.288,0.026,0.008
-17.284,0.03,0.008
