Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,4,4
Horizontal Delay,0,0
Sample Interval,0.004,0.004
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,46.5,52
Vertical Scale,0.1,0.2
Vertical Position,1.86,2.08
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-20,0.002,-0.176
-19.996,0.002,-0.184
-19.992,0.006,-0.176
-19.988,0.002,-0.176
-19.984,0.006,-0.176
-19.98,0.006,-0.176
-19.976,0.002,-0.176
-19.972,0.002,-0.176
-19.968,0.002,-0.168
-19.964,0.002,-0.184
-19.96,0.002,-0.176
-19.956,0.002,-0.176
-19.952,0.006,-0.176
-19.948,-0.002,-0.176
-19.944,-0.002,-0.176
-19.94,0.002,-0.176
-19.936,0.002,-0.176
-19.932,0.002,-0.168
-19.928,0.002,-0.168
-19.924,-0.002,-0.176
-19.92,0.002,-0.168
-19.916,-0.002,-0.176
-19.912,-0.002,-0.168
-19.908,0.002,-0.168
-19.904,0.002,-0.168
-19.9,0.002,-0.168
-19.896,0.002,-0.168
-19.892,-0.002,-0.176
-19.888,0.002,-0.168
-19.884,-0.002,-0.168
-19.88,-0.002,-0.168
-19.876,-0.002,-0.168
-19.872,-0.002,-0.168
-19.868,0.002,-0.168
-19.864,0.002,-0.168
-19.86,-0.002,-0.176
-19.856,0.002,-0.168
-19.852,0.002,-0.168
-19.848,0.006,-0.168
-19.844,-0.002,-0.168
-19.84,0.002,-0.168
-19.836,-0.002,-0.168
-19.832,-0.002,-0.16
-19.828,-0.002,-0.16
-19.824,0.002,-0.16
-19.82,0.002,-0.16
-19.816,0.002,-0.168
-19.812,0.002,-0.168
-19.808,0.002,-0.168
-19.804,-0.002,-0.168
-19.8,0.002,-0.168
-19.796,0.002,-0.168
-19.792,0.002,-0.168
-19.788,0.002,-0.16
-19.784,0.002,-0.16
-19.78,0.002,-0.16
-19.776,0.002,-0.16
-19.772,0.002,-0.16
-19.768,0.002,-0.16
-19.764,-0.002,-0.16
-19.76,0.002,-0.16
-19.756,0.002,-0.16
-19.752,0.002,-0.168
-19.748,0.002,-0.16
-19.744,0.002,-0.152
-19.74,0.002,-0.16
-19.736,0.002,-0.152
-19.732,0.006,-0.16
-19.728,0.002,-0.152
-19.724,-0.002,-0.152
-19.72,-0.002,-0.16
-19.716,0.002,-0.16
-19.712,0.002,-0.16
-19.708,0.002,-0.16
-19.704,-0.002,-0.152
-19.7,0.002,-0.144
-19.696,0.002,-0.152
-19.692,-0.002,-0.152
-19.688,0.002,-0.152
-19.684,0.002,-0.152
-19.68,-0.002,-0.152
-19.676,0.002,-0.152
-19.672,0.002,-0.152
-19.668,0.002,-0.144
-19.664,-0.002,-0.144
-19.66,0.002,-0.144
-19.656,0.002,-0.144
-19.652,0.002,-0.144
-19.648,0.002,-0.152
-19.644,0.002,-0.152
-19.64,-0.002,-0.144
-19.636,0.002,-0.144
-19.632,0.002,-0.144
-19.628,-0.002,-0.144
-19.624,0.002,-0.152
-19.62,0.002,-0.152
-19.616,0.002,-0.144
-19.612,0.002,-0.144
-19.608,0.002,-0.144
-19.604,-0.002,-0.136
-19.6,0.002,-0.136
-19.596,-0.002,-0.144
-19.592,-0.002,-0.136
-19.588,-0.002,-0.136
-19.584,-0.002,-0.136
-19.58,-0.002,-0.136
-19.576,-0.002,-0.136
-19.572,0.002,-0.136
-19.568,0.002,-0.128
-19.564,0.002,-0.136
-19.56,0.002,-0.128
-19.556,0.002,-0.12
-19.552,0.002,-0.128
-19.548,0.002,-0.128
-19.544,0.002,-0.12
-19.54,-0.002,-0.128
-19.536,0.002,-0.12
-19.532,0.006,-0.12
-19.528,0.002,-0.12
-19.524,0.002,-0.112
-19.52,0.002,-0.112
-19.516,0.002,-0.112
-19.512,0.002,-0.112
-19.508,0.002,-0.112
-19.504,0.002,-0.112
-19.5,0.002,-0.112
-19.496,0.002,-0.112
-19.492,0.002,-0.112
-19.488,0.002,-0.104
-19.484,-0.002,-0.112
-19.48,0.002,-0.112
-19.476,0.002,-0.104
-19.472,-0.002,-0.104
-19.468,0.002,-0.104
-19.464,-0.002,-0.104
-19.46,0.002,-0.112
-19.456,-0.002,-0.112
-19.452,-0.002,-0.104
-19.448,-0.002,-0.104
-19.444,-0.002,-0.104
-19.44,-0.002,-0.104
-19.436,-0.002,-0.104
-19.432,-0.002,-0.112
-19.428,-0.002,-0.104
-19.424,-0.002,-0.104
-19.42,-0.002,-0.104
-19.416,-0.002,-0.104
-19.412,-0.002,-0.104
-19.408,0.002,-0.104
-19.404,-0.002,-0.104
-19.4,-0.002,-0.104
-19.396,-0.006,-0.104
-19.392,-0.002,-0.104
-19.388,0.002,-0.112
-19.384,0.002,-0.104
-19.38,0.002,-0.104
-19.376,0.002,-0.104
-19.372,0.002,-0.112
-19.368,-0.002,-0.112
-19.364,0.002,-0.104
-19.36,0.002,-0.112
-19.356,0.002,-0.112
-19.352,0.006,-0.104
-19.348,0.002,-0.104
-19.344,0.002,-0.104
-19.34,0.006,-0.104
-19.336,0.006,-0.104
-19.332,0.002,-0.104
-19.328,0.006,-0.112
-19.324,0.006,-0.104
-19.32,0.006,-0.112
-19.316,0.01,-0.104
-19.312,0.01,-0.104
-19.308,0.006,-0.112
-19.304,0.01,-0.104
-19.3,0.014,-0.112
-19.296,0.014,-0.104
-19.292,0.014,-0.104
-19.288,0.01,-0.112
-19.284,0.014,-0.112
-19.28,0.014,-0.104
-19.276,0.014,-0.104
-19.272,0.018,-0.104
-19.268,0.018,-0.112
-19.264,0.018,-0.104
-19.26,0.018,-0.104
-19.256,0.022,-0.104
-19.252,0.022,-0.104
-19.248,0.022,-0.104
-19.244,0.022,-0.096
-19.24,0.022,-0.104
-19.236,0.022,-0.104
-19.232,0.022,-0.096
-19.228,0.026,-0.104
-19.224,0.026,-0.104
-19.22,0.026,-0.104
-19.216,0.026,-0.104
-19.212,0.03,-0.112
-19.208,0.03,-0.104
-19.204,0.03,-0.104
-19.2,0.03,-0.104
-19.196,0.03,-0.104
-19.192,0.03,-0.104
-19.188,0.03,-0.104
-19.184,0.03,-0.096
-19.18,0.03,-0.104
-19.176,0.034,-0.104
-19.172,0.03,-0.104
-19.168,0.03,-0.104
-19.164,0.03,-0.104
-19.16,0.034,-0.104
-19.156,0.034,-0.096
-19.152,0.03,-0.104
-19.148,0.034,-0.104
-19.144,0.034,-0.104
-19.14,0.034,-0.096
-19.136,0.03,-0.104
-19.132,0.03,-0.096
-19.128,0.034,-0.096
-19.124,0.034,-0.104
-19.12,0.034,-0.104
-19.116,0.034,-0.104
-19.112,0.03,-0.104
-19.108,0.03,-0.104
-19.104,0.034,-0.104
-19.1,0.034,-0.104
-19.096,0.03,-0.104
-19.092,0.03,-0.104
-19.088,0.034,-0.104
-19.084,0.034,-0.104
-19.08,0.03,-0.104
-19.076,0.03,-0.104
-19.072,0.034,-0.112
-19.068,0.034,-0.104
-19.064,0.034,-0.104
-19.06,0.03,-0.104
-19.056,0.03,-0.104
-19.052,0.034,-0.104
-19.048,0.03,-0.104
-19.044,0.034,-0.104
-19.04,0.034,-0.096
-19.036,0.034,-0.104
-19.032,0.038,-0.104
-19.028,0.038,-0.104
-19.024,0.034,-0.096
-19.02,0.038,-0.096
-19.016,0.034,-0.104
-19.012,0.038,-0.104
-19.008,0.038,-0.096
-19.004,0.038,-0.096
-19,0.038,-0.096
-18.996,0.038,-0.104
-18.992,0.038,-0.096
-18.988,0.038,-0.096
-18.984,0.038,-0.104
-18.98,0.042,-0.096
-18.976,0.038,-0.104
-18.972,0.042,-0.104
-18.968,0.042,-0.104
-18.964,0.038,-0.08800001
-18.96,0.042,-0.096
-18.956,0.042,-0.08800001
-18.952,0.042,-0.096
-18.948,0.046,-0.096
-18.944,0.042,-0.096
-18.94,0.042,-0.096
-18.936,0.042,-0.096
-18.932,0.042,-0.096
-18.928,0.046,-0.096
-18.924,0.042,-0.096
-18.92,0.046,-0.096
-18.916,0.042,-0.096
-18.912,0.046,-0.096
-18.908,0.042,-0.08800001
-18.904,0.046,-0.096
-18.9,0.046,-0.096
-18.896,0.042,-0.08800001
-18.892,0.046,-0.096
-18.888,0.046,-0.096
-18.884,0.042,-0.096
-18.88,0.042,-0.08800001
-18.876,0.046,-0.096
-18.872,0.046,-0.096
-18.868,0.046,-0.096
-18.864,0.046,-0.096
-18.86,0.046,-0.096
-18.856,0.046,-0.08800001
-18.852,0.046,-0.096
-18.848,0.05,-0.104
-18.844,0.046,-0.096
-18.84,0.042,-0.096
-18.836,0.05,-0.096
-18.832,0.046,-0.096
-18.828,0.046,-0.096
-18.824,0.046,-0.096
-18.82,0.05,-0.08800001
-18.816,0.046,-0.096
-18.812,0.046,-0.096
-18.808,0.046,-0.096
-18.804,0.046,-0.08800001
-18.8,0.05,-0.104
-18.796,0.046,-0.08800001
-18.792,0.05,-0.096
-18.788,0.05,-0.08800001
-18.784,0.05,-0.08800001
-18.78,0.05,-0.096
-18.776,0.05,-0.08800001
-18.772,0.05,-0.096
-18.768,0.05,-0.08800001
-18.764,0.054,-0.08800001
-18.76,0.05,-0.08800001
-18.756,0.05,-0.08800001
-18.752,0.05,-0.08800001
-18.748,0.054,-0.08800001
-18.744,0.054,-0.08800001
-18.74,0.054,-0.08800001
-18.736,0.054,-0.08800001
-18.732,0.054,-0.08800001
-18.728,0.054,-0.08800001
-18.724,0.054,-0.08800001
-18.72,0.054,-0.08800001
-18.716,0.054,-0.08800001
-18.712,0.054,-0.08800001
-18.708,0.054,-0.08800001
-18.704,0.054,-0.08800001
-18.7,0.058,-0.08800001
-18.696,0.058,-0.08800001
-18.692,0.058,-0.08800001
-18.688,0.058,-0.08800001
-18.684,0.058,-0.08800001
-18.68,0.058,-0.08800001
-18.676,0.058,-0.08800001
-18.672,0.058,-0.08800001
-18.668,0.062,-0.08800001
-18.664,0.058,-0.08000001
-18.66,0.062,-0.08800001
-18.656,0.062,-0.08000001
-18.652,0.062,-0.08800001
-18.648,0.066,-0.08800001
-18.644,0.062,-0.08800001
-18.64,0.062,-0.08800001
-18.636,0.062,-0.08800001
-18.632,0.062,-0.08000001
-18.628,0.062,-0.08800001
-18.624,0.062,-0.08000001
-18.62,0.062,-0.08800001
-18.616,0.062,-0.08000001
-18.612,0.062,-0.08000001
-18.608,0.062,-0.08800001
-18.604,0.066,-0.08000001
-18.6,0.066,-0.08000001
-18.596,0.066,-0.08800001
-18.592,0.07,-0.08000001
-18.588,0.066,-0.08000001
-18.584,0.066,-0.08000001
-18.58,0.066,-0.08000001
-18.576,0.07,-0.08000001
-18.572,0.066,-0.08000001
-18.568,0.07,-0.08800001
-18.564,0.07,-0.08000001
-18.56,0.07,-0.08000001
-18.556,0.07,-0.08000001
-18.552,0.07,-0.08800001
-18.548,0.07,-0.072
-18.544,0.07,-0.08000001
-18.54,0.07,-0.08000001
-18.536,0.07,-0.08000001
-18.532,0.07,-0.08000001
-18.528,0.07,-0.08000001
-18.524,0.07,-0.08000001
-18.52,0.066,-0.08000001
-18.516,0.07,-0.08000001
-18.512,0.07,-0.08000001
-18.508,0.07,-0.08000001
-18.504,0.07,-0.08000001
-18.5,0.07,-0.08000001
-18.496,0.07,-0.072
-18.492,0.07,-0.08000001
-18.488,0.07,-0.08000001
-18.484,0.07,-0.08000001
-18.48,0.07,-0.08000001
-18.476,0.07,-0.072
-18.472,0.066,-0.072
-18.468,0.07,-0.072
-18.464,0.07,-0.072
-18.46,0.07,-0.08000001
-18.456,0.07,-0.08000001
-18.452,0.07,-0.08000001
-18.448,0.07,-0.08000001
-18.444,0.07,-0.08000001
-18.44,0.07,-0.072
-18.436,0.07,-0.08000001
-18.432,0.07,-0.08000001
-18.428,0.07,-0.08000001
-18.424,0.07,-0.08000001
-18.42,0.07,-0.072
-18.416,0.07,-0.08000001
-18.412,0.066,-0.08000001
-18.408,0.07,-0.08000001
-18.404,0.066,-0.072
-18.4,0.07,-0.072
-18.396,0.066,-0.072
-18.392,0.066,-0.08000001
-18.388,0.066,-0.072
-18.384,0.07,-0.072
-18.38,0.07,-0.072
-18.376,0.07,-0.08000001
-18.372,0.066,-0.072
-18.368,0.062,-0.08000001
-18.364,0.066,-0.072
-18.36,0.066,-0.072
-18.356,0.07,-0.072
-18.352,0.066,-0.072
-18.348,0.066,-0.08000001
-18.344,0.066,-0.072
-18.34,0.066,-0.064
-18.336,0.066,-0.08000001
-18.332,0.066,-0.064
-18.328,0.066,-0.072
-18.324,0.066,-0.072
-18.32,0.066,-0.072
-18.316,0.066,-0.072
-18.312,0.066,-0.072
-18.308,0.066,-0.072
-18.304,0.066,-0.064
-18.3,0.066,-0.072
-18.296,0.066,-0.072
-18.292,0.066,-0.064
-18.288,0.066,-0.072
-18.284,0.066,-0.072
-18.28,0.066,-0.064
-18.276,0.066,-0.064
-18.272,0.07,-0.072
-18.268,0.066,-0.072
-18.264,0.066,-0.072
-18.26,0.066,-0.072
-18.256,0.066,-0.072
-18.252,0.066,-0.072
-18.248,0.066,-0.08000001
-18.244,0.066,-0.072
-18.24,0.066,-0.064
-18.236,0.07,-0.08000001
-18.232,0.066,-0.072
-18.228,0.07,-0.064
-18.224,0.066,-0.072
-18.22,0.066,-0.072
-18.216,0.07,-0.072
-18.212,0.07,-0.072
-18.208,0.07,-0.064
-18.204,0.07,-0.064
-18.2,0.07,-0.064
-18.196,0.07,-0.072
-18.192,0.066,-0.072
-18.188,0.066,-0.064
-18.184,0.07,-0.064
-18.18,0.066,-0.072
-18.176,0.066,-0.072
-18.172,0.066,-0.064
-18.168,0.066,-0.064
-18.164,0.07,-0.056
-18.16,0.066,-0.064
-18.156,0.066,-0.064
-18.152,0.066,-0.064
-18.148,0.062,-0.064
-18.144,0.066,-0.064
-18.14,0.066,-0.064
-18.136,0.07,-0.064
-18.132,0.066,-0.064
-18.128,0.066,-0.064
-18.124,0.066,-0.064
-18.12,0.066,-0.064
-18.116,0.066,-0.056
-18.112,0.07,-0.064
-18.108,0.066,-0.064
-18.104,0.066,-0.064
-18.1,0.066,-0.056
-18.096,0.062,-0.056
-18.092,0.066,-0.064
-18.088,0.066,-0.064
-18.084,0.066,-0.064
-18.08,0.066,-0.056
-18.076,0.066,-0.064
-18.072,0.066,-0.064
-18.068,0.058,-0.056
-18.064,0.066,-0.056
-18.06,0.062,-0.056
-18.056,0.066,-0.056
-18.052,0.062,-0.064
-18.048,0.062,-0.064
-18.044,0.062,-0.056
-18.04,0.062,-0.056
-18.036,0.062,-0.064
-18.032,0.062,-0.056
-18.028,0.062,-0.056
-18.024,0.062,-0.056
-18.02,0.066,-0.056
-18.016,0.066,-0.056
-18.012,0.066,-0.056
-18.008,0.062,-0.056
-18.004,0.062,-0.048
-18,0.062,-0.056
-17.996,0.062,-0.064
-17.992,0.062,-0.064
-17.988,0.062,-0.056
-17.984,0.062,-0.056
-17.98,0.062,-0.056
-17.976,0.062,-0.048
-17.972,0.062,-0.048
-17.968,0.062,-0.056
-17.964,0.062,-0.064
-17.96,0.062,-0.056
-17.956,0.058,-0.056
-17.952,0.062,-0.056
-17.948,0.062,-0.064
-17.944,0.062,-0.064
-17.94,0.058,-0.056
-17.936,0.062,-0.056
-17.932,0.062,-0.064
-17.928,0.058,-0.056
-17.924,0.058,-0.064
-17.92,0.058,-0.056
-17.916,0.058,-0.056
-17.912,0.058,-0.064
-17.908,0.058,-0.056
-17.904,0.058,-0.056
-17.9,0.058,-0.056
-17.896,0.058,-0.056
-17.892,0.054,-0.056
-17.888,0.054,-0.056
-17.884,0.054,-0.064
-17.88,0.058,-0.056
-17.876,0.054,-0.056
-17.872,0.058,-0.056
-17.868,0.054,-0.056
-17.864,0.058,-0.064
-17.86,0.054,-0.056
-17.856,0.054,-0.064
-17.852,0.058,-0.064
-17.848,0.054,-0.056
-17.844,0.054,-0.056
-17.84,0.054,-0.064
-17.836,0.054,-0.064
-17.832,0.054,-0.056
-17.828,0.054,-0.064
-17.824,0.054,-0.064
-17.82,0.054,-0.064
-17.816,0.054,-0.072
-17.812,0.058,-0.056
-17.808,0.054,-0.056
-17.804,0.054,-0.064
-17.8,0.054,-0.064
-17.796,0.054,-0.064
-17.792,0.05,-0.072
-17.788,0.05,-0.056
-17.784,0.058,-0.072
-17.78,0.054,-0.064
-17.776,0.054,-0.072
-17.772,0.05,-0.064
