Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.02,0.02
Horizontal Delay,0,0
Sample Interval,2E-05,2E-05
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,30,-43.5
Vertical Scale,1,1
Vertical Position,1.2,-1.74
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-0.1,0.08,0.14
-0.09998,0.12,0.18
-0.09996,0.16,0.22
-0.09994,0.16,0.26
-0.09992,0.16,0.3
-0.0999,0.24,0.34
-0.09988,0.28,0.34
-0.09986,0.32,0.38
-0.09984,0.32,0.46
-0.09982,0.36,0.46
-0.0998,0.4,0.5
-0.09978,0.44,0.54
-0.09976,0.48,0.54
-0.09974,0.48,0.58
-0.09972,0.52,0.62
-0.0997,0.6,0.66
-0.09968,0.6,0.66
-0.09966,0.64,0.74
-0.09964,0.64,0.74
-0.09962,0.72,0.74
-0.0996,0.72,0.78
-0.09958,0.72,0.78
-0.09956,0.8,0.86
-0.09954,0.8,0.86
-0.09952,0.84,0.86
-0.0995,0.84,0.9
-0.09948,0.88,0.94
-0.09946,0.84,0.9
-0.09944,0.88,0.94
-0.09942,0.92,0.94
-0.0994,0.88,0.98
-0.09938,0.96,0.98
-0.09936,0.96,0.98
-0.09934,0.96,0.98
-0.09932,0.96,0.98
-0.0993,0.96,1.06
-0.09928,0.96,0.98
-0.09926,0.96,0.98
-0.09924,1,1.02
-0.09922,1,1.02
-0.0992,1,1.06
-0.09918,1,1.02
-0.09916,1.04,1.02
-0.09914,1,0.98
-0.09912,1,1.02
-0.0991,0.96,1.02
-0.09908,0.92,0.98
-0.09906,0.96,0.98
-0.09904,0.96,0.98
-0.09902,0.92,0.94
-0.099,0.92,0.94
-0.09898,0.92,0.94
-0.09896,0.88,0.86
-0.09894,0.88,0.9
-0.09892,0.84,0.82
-0.0989,0.84,0.82
-0.09888,0.84,0.78
-0.09886,0.8,0.78
-0.09884,0.76,0.74
-0.09882,0.76,0.7
-0.0988,0.72,0.7
-0.09878,0.68,0.66
-0.09876,0.68,0.66
-0.09874,0.64,0.62
-0.09872,0.6,0.58
-0.0987,0.52,0.58
-0.09868,0.56,0.54
-0.09866,0.52,0.5
-0.09864,0.48,0.46
-0.09862,0.44,0.42
-0.0986,0.4,0.42
-0.09858,0.36,0.34
-0.09856,0.32,0.3
-0.09854,0.32,0.3
-0.09852,0.24,0.26
-0.0985,0.2,0.18
-0.09848,0.16,0.18
-0.09846,0.2,0.09999999
-0.09844,0.12,0.09999999
-0.09842,0.08,0.06
-0.0984,0.04,0.02
-0.09838,0.04,-0.02
-0.09836,-0.04,-0.02
-0.09834,-0.04,-0.14
-0.09832,-0.12,-0.14
-0.0983,-0.12,-0.18
-0.09828,-0.16,-0.22
-0.09826,-0.24,-0.26
-0.09824,-0.24,-0.26
-0.09822,-0.32,-0.3
-0.0982,-0.32,-0.34
-0.09818,-0.36,-0.42
-0.09816,-0.4,-0.42
-0.09814,-0.44,-0.5
-0.09812,-0.48,-0.5
-0.0981,-0.48,-0.5
-0.09808,-0.56,-0.58
-0.09806,-0.56,-0.62
-0.09804,-0.6,-0.58
-0.09802,-0.64,-0.66
-0.098,-0.68,-0.7
-0.09798,-0.68,-0.7
-0.09796,-0.72,-0.74
-0.09794,-0.76,-0.78
-0.09792,-0.76,-0.78
-0.0979,-0.8,-0.82
-0.09788,-0.84,-0.82
-0.09786,-0.84,-0.86
-0.09784,-0.88,-0.86
-0.09782,-0.92,-0.86
-0.0978,-0.92,-0.86
-0.09778,-0.92,-0.9
-0.09776,-0.96,-0.9
-0.09774,-0.96,-0.9
-0.09772,-0.96,-0.94
-0.0977,-1,-0.94
-0.09768,-0.96,-0.98
-0.09766,-0.96,-0.94
-0.09764,-1.04,-0.94
-0.09762,-1,-0.98
-0.0976,-1.04,-0.98
-0.09758,-1.04,-0.98
-0.09756,-1,-0.98
-0.09754,-1,-0.98
-0.09752,-1.04,-0.98
-0.0975,-1.04,-0.98
-0.09748,-1.04,-0.98
-0.09746,-1,-0.98
-0.09744,-1,-0.94
-0.09742,-1,-0.94
-0.0974,-1,-0.98
-0.09738,-0.92,-0.94
-0.09736,-0.96,-0.9
-0.09734,-0.96,-0.86
-0.09732,-0.88,-0.9
-0.0973,-0.88,-0.86
-0.09728,-0.88,-0.86
-0.09726,-0.92,-0.86
-0.09724,-0.88,-0.78
-0.09722,-0.84,-0.78
-0.0972,-0.84,-0.78
-0.09718,-0.8,-0.78
-0.09716,-0.8,-0.74
-0.09714,-0.76,-0.74
-0.09712,-0.76,-0.7
-0.0971,-0.72,-0.62
-0.09708,-0.68,-0.62
-0.09706,-0.6,-0.58
-0.09704,-0.64,-0.54
-0.09702,-0.6,-0.54
-0.097,-0.56,-0.46
-0.09698,-0.52,-0.46
-0.09696,-0.48,-0.42
-0.09694,-0.44,-0.42
-0.09692,-0.44,-0.3
-0.0969,-0.36,-0.34
-0.09688,-0.36,-0.26
-0.09686,-0.32,-0.22
-0.09684,-0.28,-0.22
-0.09682,-0.24,-0.14
-0.0968,-0.2,-0.14
-0.09678,-0.16,-0.09999999
-0.09676,-0.12,-0.06
-0.09674,-0.12,-0.02
-0.09672,-0.04,0.02
-0.0967,0,0.06
-0.09668,0.04,0.09999999
-0.09666,0.04,0.14
-0.09664,0.08,0.18
-0.09662,0.16,0.22
-0.0966,0.16,0.26
-0.09658,0.24,0.26
-0.09656,0.28,0.3
-0.09654,0.28,0.38
-0.09652,0.28,0.42
-0.0965,0.36,0.42
-0.09648,0.4,0.46
-0.09646,0.44,0.5
-0.09644,0.48,0.54
-0.09642,0.48,0.58
-0.0964,0.52,0.58
-0.09638,0.56,0.62
-0.09636,0.6,0.62
-0.09634,0.6,0.7
-0.09632,0.68,0.7
-0.0963,0.68,0.74
-0.09628,0.72,0.74
-0.09626,0.72,0.78
-0.09624,0.76,0.78
-0.09622,0.76,0.82
-0.0962,0.8,0.86
-0.09618,0.84,0.9
-0.09616,0.84,0.9
-0.09614,0.84,0.94
-0.09612,0.88,0.94
-0.0961,0.92,0.94
-0.09608,0.92,0.98
-0.09606,0.92,0.94
-0.09604,0.96,0.98
-0.09602,1,0.98
-0.096,0.96,0.98
-0.09598,0.92,1.02
-0.09596,0.96,1.02
-0.09594,0.96,1.02
-0.09592,1.04,1.02
-0.0959,1,0.98
-0.09588,1,1.02
-0.09586,1,1.06
-0.09584,1,1.06
-0.09582,1,1.02
-0.0958,0.96,1.02
-0.09578,1,0.94
-0.09576,1,1.02
-0.09574,0.96,0.94
-0.09572,0.96,0.98
-0.0957,0.92,0.94
-0.09568,0.92,0.94
-0.09566,0.92,0.94
-0.09564,0.92,0.9
-0.09562,0.88,0.9
-0.0956,0.88,0.86
-0.09558,0.88,0.82
-0.09556,0.8,0.86
-0.09554,0.84,0.82
-0.09552,0.76,0.78
-0.0955,0.8,0.74
-0.09548,0.76,0.74
-0.09546,0.72,0.74
-0.09544,0.68,0.66
-0.09542,0.64,0.62
-0.0954,0.6,0.62
-0.09538,0.6,0.58
-0.09536,0.56,0.5
-0.09534,0.56,0.46
-0.09532,0.48,0.5
-0.0953,0.44,0.46
-0.09528,0.4,0.42
-0.09526,0.44,0.38
-0.09524,0.4,0.34
-0.09522,0.32,0.3
-0.0952,0.28,0.22
-0.09518,0.28,0.22
-0.09516,0.2,0.18
-0.09514,0.16,0.14
-0.09512,0.12,0.14
-0.0951,0.08,0.09999999
-0.09508,0.08,0.02
-0.09506,0.04,-0.02
-0.09504,-0.04,-0.02
-0.09502,0,-0.06
-0.095,-0.08,-0.09999999
-0.09498,-0.12,-0.14
-0.09496,-0.12,-0.18
-0.09494,-0.2,-0.26
-0.09492,-0.2,-0.26
-0.0949,-0.24,-0.3
-0.09488,-0.32,-0.34
-0.09486,-0.32,-0.34
-0.09484,-0.36,-0.38
-0.09482,-0.4,-0.42
-0.0948,-0.48,-0.46
-0.09478,-0.48,-0.5
-0.09476,-0.52,-0.5
-0.09474,-0.56,-0.54
-0.09472,-0.56,-0.62
-0.0947,-0.6,-0.66
-0.09468,-0.64,-0.66
-0.09466,-0.68,-0.7
-0.09464,-0.68,-0.7
-0.09462,-0.72,-0.74
-0.0946,-0.76,-0.78
-0.09458,-0.76,-0.78
-0.09456,-0.84,-0.82
-0.09454,-0.84,-0.86
-0.09452,-0.88,-0.86
-0.0945,-0.88,-0.86
-0.09448,-0.88,-0.9
-0.09446,-0.88,-0.9
-0.09444,-0.92,-0.9
-0.09442,-0.92,-0.9
-0.0944,-0.96,-0.94
-0.09438,-0.96,-0.94
-0.09436,-1,-0.94
-0.09434,-0.96,-0.94
-0.09432,-1.04,-0.94
-0.0943,-1.04,-0.98
-0.09428,-1.04,-1.02
-0.09426,-1,-0.98
-0.09424,-1.04,-0.98
-0.09422,-1,-0.98
-0.0942,-1,-0.98
-0.09418,-1.04,-0.98
-0.09416,-1,-0.98
-0.09414,-1,-0.94
-0.09412,-1,-0.94
-0.0941,-1,-0.94
-0.09408,-1,-0.98
-0.09406,-1,-0.9
-0.09404,-0.96,-0.9
-0.09402,-0.96,-0.9
-0.094,-0.92,-0.9
-0.09398,-0.92,-0.86
-0.09396,-0.96,-0.86
-0.09394,-0.92,-0.82
-0.09392,-0.88,-0.86
-0.0939,-0.88,-0.82
-0.09388,-0.84,-0.82
-0.09386,-0.84,-0.74
-0.09384,-0.8,-0.74
-0.09382,-0.76,-0.7
-0.0938,-0.76,-0.7
-0.09378,-0.76,-0.62
-0.09376,-0.68,-0.62
-0.09374,-0.68,-0.58
-0.09372,-0.6,-0.58
-0.0937,-0.64,-0.54
-0.09368,-0.6,-0.5
-0.09366,-0.56,-0.5
-0.09364,-0.52,-0.42
-0.09362,-0.48,-0.38
-0.0936,-0.44,-0.38
-0.09358,-0.4,-0.34
-0.09356,-0.36,-0.3
-0.09354,-0.36,-0.26
-0.09352,-0.28,-0.22
-0.0935,-0.28,-0.22
-0.09348,-0.2,-0.14
-0.09346,-0.2,-0.09999999
-0.09344,-0.16,-0.02
-0.09342,-0.08,-0.02
-0.0934,-0.04,0.02
-0.09338,-0.04,0.02
-0.09336,-0.04,0.06
-0.09334,0.04,0.09999999
-0.09332,0.08,0.14
-0.0933,0.12,0.22
-0.09328,0.12,0.22
-0.09326,0.2,0.26
-0.09324,0.2,0.34
-0.09322,0.28,0.34
-0.0932,0.32,0.42
-0.09318,0.32,0.38
-0.09316,0.36,0.42
-0.09314,0.4,0.5
-0.09312,0.4,0.5
-0.0931,0.48,0.54
-0.09308,0.52,0.54
-0.09306,0.56,0.58
-0.09304,0.56,0.62
-0.09302,0.6,0.66
-0.093,0.64,0.7
-0.09298,0.68,0.7
-0.09296,0.68,0.74
-0.09294,0.68,0.78
-0.09292,0.72,0.82
-0.0929,0.76,0.82
-0.09288,0.76,0.82
-0.09286,0.8,0.9
-0.09284,0.84,0.86
-0.09282,0.88,0.9
-0.0928,0.88,0.9
-0.09278,0.88,0.94
-0.09276,0.92,0.98
-0.09274,0.96,0.98
-0.09272,0.96,0.98
-0.0927,0.96,0.98
-0.09268,1,0.98
-0.09266,1,0.98
-0.09264,0.96,1.02
-0.09262,0.96,0.98
-0.0926,1,1.02
-0.09258,0.96,1.02
-0.09256,1,1.02
-0.09254,1.04,1.02
-0.09252,1,1.02
-0.0925,1,1.06
-0.09248,1,1.02
-0.09246,1,0.98
-0.09244,1,0.98
-0.09242,0.96,1.02
-0.0924,0.96,0.98
-0.09238,0.96,0.94
-0.09236,0.96,0.94
-0.09234,0.92,0.94
-0.09232,0.92,0.9
-0.0923,0.88,0.9
-0.09228,0.88,0.9
-0.09226,0.88,0.86
-0.09224,0.84,0.82
-0.09222,0.84,0.78
-0.0922,0.8,0.78
-0.09218,0.8,0.78
-0.09216,0.72,0.74
-0.09214,0.76,0.7
-0.09212,0.68,0.66
-0.0921,0.68,0.62
-0.09208,0.64,0.58
-0.09206,0.6,0.58
-0.09204,0.56,0.58
-0.09202,0.56,0.5
-0.092,0.52,0.46
-0.09198,0.48,0.46
-0.09196,0.44,0.42
-0.09194,0.44,0.42
-0.09192,0.4,0.38
-0.0919,0.36,0.38
-0.09188,0.32,0.3
-0.09186,0.28,0.26
-0.09184,0.24,0.26
-0.09182,0.24,0.22
-0.0918,0.16,0.14
-0.09178,0.16,0.14
-0.09176,0.08,0.09999999
-0.09174,0.04,0.02
-0.09172,0,0.02
-0.0917,0,-0.06
-0.09168,-0.04,-0.06
-0.09166,-0.08,-0.09999999
-0.09164,-0.12,-0.14
-0.09162,-0.16,-0.22
-0.0916,-0.2,-0.22
-0.09158,-0.24,-0.26
-0.09156,-0.28,-0.26
-0.09154,-0.32,-0.34
-0.09152,-0.36,-0.38
-0.0915,-0.4,-0.42
-0.09148,-0.44,-0.46
-0.09146,-0.48,-0.5
-0.09144,-0.52,-0.54
-0.09142,-0.52,-0.54
-0.0914,-0.56,-0.58
-0.09138,-0.6,-0.58
-0.09136,-0.6,-0.62
-0.09134,-0.64,-0.66
-0.09132,-0.72,-0.66
-0.0913,-0.72,-0.7
-0.09128,-0.76,-0.78
-0.09126,-0.72,-0.78
-0.09124,-0.76,-0.78
-0.09122,-0.84,-0.82
-0.0912,-0.84,-0.82
-0.09118,-0.84,-0.86
-0.09116,-0.84,-0.86
-0.09114,-0.88,-0.86
-0.09112,-0.92,-0.86
-0.0911,-0.92,-0.9
-0.09108,-0.96,-0.94
-0.09106,-0.96,-0.94
-0.09104,-0.96,-0.94
-0.09102,-0.96,-0.94
-0.091,-0.96,-0.98
-0.09098,-1,-0.94
-0.09096,-1.04,-0.94
-0.09094,-1.04,-0.94
-0.09092,-1,-0.94
-0.0909,-1.04,-0.98
-0.09088,-1,-0.98
-0.09086,-1.04,-0.9
-0.09084,-1.04,-0.98
-0.09082,-1.04,-0.98
-0.0908,-1.04,-0.94
-0.09078,-1,-0.98
-0.09076,-0.96,-0.94
-0.09074,-1,-0.9
-0.09072,-0.96,-0.9
-0.0907,-0.96,-0.9
-0.09068,-0.92,-0.86
-0.09066,-0.96,-0.86
-0.09064,-0.96,-0.86
-0.09062,-0.92,-0.86
-0.0906,-0.88,-0.82
-0.09058,-0.88,-0.82
-0.09056,-0.84,-0.78
-0.09054,-0.84,-0.78
-0.09052,-0.8,-0.74
-0.0905,-0.76,-0.7
-0.09048,-0.76,-0.7
-0.09046,-0.76,-0.7
-0.09044,-0.68,-0.62
-0.09042,-0.68,-0.62
-0.0904,-0.68,-0.58
-0.09038,-0.64,-0.54
-0.09036,-0.6,-0.54
-0.09034,-0.56,-0.5
-0.09032,-0.52,-0.46
-0.0903,-0.48,-0.42
-0.09028,-0.44,-0.42
-0.09026,-0.44,-0.34
-0.09024,-0.4,-0.3
-0.09022,-0.36,-0.26
-0.0902,-0.28,-0.26
-0.09018,-0.28,-0.18
-0.09016,-0.2,-0.18
-0.09014,-0.2,-0.14
-0.09012,-0.16,-0.09999999
-0.0901,-0.12,-0.06
-0.09008,-0.08,-0.02
-0.09006,-0.04,-0.02
-0.09004,-0.04,0.06
-0.09002,0,0.09999999
-0.09,0.04,0.14
-0.08998,0.08,0.14
-0.08996,0.12,0.22
-0.08994,0.16,0.26
-0.08992,0.2,0.3
-0.0899,0.24,0.34
-0.08988,0.24,0.34
-0.08986,0.32,0.38
-0.08984,0.32,0.46
-0.08982,0.4,0.46
-0.0898,0.4,0.46
-0.08978,0.48,0.5
-0.08976,0.48,0.54
-0.08974,0.48,0.58
-0.08972,0.56,0.62
-0.0897,0.6,0.62
-0.08968,0.64,0.7
-0.08966,0.68,0.7
-0.08964,0.68,0.7
-0.08962,0.68,0.74
-0.0896,0.72,0.74
-0.08958,0.72,0.82
-0.08956,0.8,0.82
-0.08954,0.76,0.86
-0.08952,0.8,0.86
-0.0895,0.8,0.9
-0.08948,0.88,0.9
-0.08946,0.88,0.9
-0.08944,0.88,0.94
-0.08942,0.92,0.94
-0.0894,0.92,0.9
-0.08938,0.96,0.98
-0.08936,0.96,0.98
-0.08934,1,1.02
-0.08932,0.96,1.02
-0.0893,1,1.02
-0.08928,1,1.02
-0.08926,0.96,0.98
-0.08924,1,1.02
-0.08922,1,1.02
-0.0892,0.96,1.02
-0.08918,1,0.98
-0.08916,0.96,1.02
-0.08914,1,1.02
-0.08912,1,0.98
-0.0891,0.96,1.02
-0.08908,1,0.98
