Model,MDO34,
Firmware Version,CF:91.1CT FV:v1.6.0,
,,
Waveform Type,ANALOG,ANALOG
Point Format,Y,Y
Horizontal Units,"s","s"
Horizontal Scale,0.02,0.02
Horizontal Delay,0,0
Sample Interval,2E-05,2E-05
Record Length,10000,10000
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1X,1X
Vertical Units,"V","V"
Vertical Offset,30,-43.5
Vertical Scale,1,1
Vertical Position,1.2,-1.74
,,
,,
,,
Label,"",""
TIME,CH1,CH2
-0.1,0,0.18
-0.09998,0,0.22
-0.09996,0.04,0.22
-0.09994,0.04,0.22
-0.09992,0.04,0.22
-0.0999,0.08,0.26
-0.09988,0.08,0.3
-0.09986,0.08,0.26
-0.09984,0.08,0.3
-0.09982,0.12,0.34
-0.0998,0.16,0.34
-0.09978,0.12,0.3
-0.09976,0.12,0.34
-0.09974,0.16,0.38
-0.09972,0.16,0.34
-0.0997,0.16,0.38
-0.09968,0.2,0.38
-0.09966,0.2,0.42
-0.09964,0.2,0.42
-0.09962,0.24,0.42
-0.0996,0.24,0.42
-0.09958,0.28,0.46
-0.09956,0.28,0.46
-0.09954,0.32,0.46
-0.09952,0.32,0.46
-0.0995,0.32,0.46
-0.09948,0.32,0.5
-0.09946,0.32,0.5
-0.09944,0.36,0.5
-0.09942,0.36,0.5
-0.0994,0.4,0.54
-0.09938,0.36,0.54
-0.09936,0.4,0.58
-0.09934,0.4,0.58
-0.09932,0.4,0.62
-0.0993,0.44,0.62
-0.09928,0.44,0.58
-0.09926,0.44,0.58
-0.09924,0.48,0.62
-0.09922,0.48,0.62
-0.0992,0.44,0.66
-0.09918,0.52,0.66
-0.09916,0.48,0.66
-0.09914,0.52,0.7
-0.09912,0.52,0.66
-0.0991,0.52,0.7
-0.09908,0.56,0.7
-0.09906,0.56,0.66
-0.09904,0.6,0.7
-0.09902,0.6,0.7
-0.099,0.6,0.74
-0.09898,0.6,0.74
-0.09896,0.6,0.74
-0.09894,0.6,0.78
-0.09892,0.64,0.78
-0.0989,0.64,0.78
-0.09888,0.64,0.78
-0.09886,0.64,0.82
-0.09884,0.68,0.82
-0.09882,0.72,0.78
-0.0988,0.68,0.82
-0.09878,0.72,0.82
-0.09876,0.72,0.78
-0.09874,0.72,0.82
-0.09872,0.68,0.86
-0.0987,0.72,0.86
-0.09868,0.76,0.86
-0.09866,0.72,0.86
-0.09864,0.72,0.86
-0.09862,0.76,0.86
-0.0986,0.8,0.86
-0.09858,0.8,0.9
-0.09856,0.8,0.9
-0.09854,0.8,0.86
-0.09852,0.8,0.9
-0.0985,0.8,0.94
-0.09848,0.8,0.9
-0.09846,0.88,0.94
-0.09844,0.84,0.9
-0.09842,0.84,0.94
-0.0984,0.84,0.94
-0.09838,0.8,0.94
-0.09836,0.88,0.9
-0.09834,0.84,0.94
-0.09832,0.88,0.94
-0.0983,0.88,0.98
-0.09828,0.88,0.98
-0.09826,0.88,0.98
-0.09824,0.92,0.98
-0.09822,0.92,0.98
-0.0982,0.88,0.98
-0.09818,0.92,0.98
-0.09816,0.92,1.02
-0.09814,0.92,0.98
-0.09812,0.92,0.98
-0.0981,0.92,0.98
-0.09808,0.92,0.98
-0.09806,0.96,0.98
-0.09804,0.96,1.02
-0.09802,0.96,1.02
-0.098,0.96,0.98
-0.09798,0.96,1.02
-0.09796,0.96,0.98
-0.09794,0.96,0.98
-0.09792,0.96,1.02
-0.0979,0.96,0.98
-0.09788,0.96,0.98
-0.09786,0.96,1.02
-0.09784,0.96,0.98
-0.09782,1,0.98
-0.0978,0.96,1.02
-0.09778,1.04,1.02
-0.09776,1,1.02
-0.09774,1,1.02
-0.09772,1,1.02
-0.0977,1,1.02
-0.09768,1,0.98
-0.09766,1,1.02
-0.09764,1,0.98
-0.09762,1,0.98
-0.0976,1,0.98
-0.09758,1,0.98
-0.09756,1.04,0.94
-0.09754,0.96,0.98
-0.09752,1,0.98
-0.0975,0.96,0.98
-0.09748,1,1.02
-0.09746,1,0.98
-0.09744,1,0.98
-0.09742,1,0.98
-0.0974,1,0.98
-0.09738,1,0.98
-0.09736,1,0.98
-0.09734,1,0.98
-0.09732,0.96,0.98
-0.0973,1,0.98
-0.09728,0.96,0.94
-0.09726,0.96,0.98
-0.09724,0.96,0.98
-0.09722,0.96,0.98
-0.0972,0.96,0.94
-0.09718,0.96,0.9
-0.09716,0.96,0.94
-0.09714,0.96,0.98
-0.09712,0.96,0.94
-0.0971,0.96,0.9
-0.09708,0.96,0.9
-0.09706,0.96,0.9
-0.09704,0.96,0.9
-0.09702,0.96,0.9
-0.097,0.96,0.9
-0.09698,0.92,0.86
-0.09696,0.92,0.86
-0.09694,0.92,0.86
-0.09692,0.92,0.9
-0.0969,0.92,0.9
-0.09688,0.92,0.86
-0.09686,0.92,0.86
-0.09684,0.92,0.86
-0.09682,0.92,0.82
-0.0968,0.88,0.82
-0.09678,0.88,0.82
-0.09676,0.92,0.82
-0.09674,0.88,0.78
-0.09672,0.84,0.78
-0.0967,0.88,0.82
-0.09668,0.84,0.74
-0.09666,0.84,0.7
-0.09664,0.88,0.74
-0.09662,0.84,0.74
-0.0966,0.8,0.74
-0.09658,0.8,0.74
-0.09656,0.8,0.7
-0.09654,0.8,0.74
-0.09652,0.8,0.7
-0.0965,0.8,0.66
-0.09648,0.76,0.66
-0.09646,0.76,0.7
-0.09644,0.76,0.66
-0.09642,0.76,0.66
-0.0964,0.72,0.66
-0.09638,0.72,0.66
-0.09636,0.76,0.66
-0.09634,0.72,0.62
-0.09632,0.68,0.62
-0.0963,0.68,0.62
-0.09628,0.68,0.58
-0.09626,0.72,0.58
-0.09624,0.68,0.62
-0.09622,0.68,0.58
-0.0962,0.68,0.54
-0.09618,0.68,0.58
-0.09616,0.64,0.54
-0.09614,0.6,0.54
-0.09612,0.64,0.5
-0.0961,0.64,0.5
-0.09608,0.6,0.5
-0.09606,0.56,0.5
-0.09604,0.56,0.46
-0.09602,0.56,0.42
-0.096,0.56,0.46
-0.09598,0.56,0.46
-0.09596,0.52,0.38
-0.09594,0.48,0.42
-0.09592,0.52,0.42
-0.0959,0.48,0.42
-0.09588,0.52,0.38
-0.09586,0.48,0.38
-0.09584,0.52,0.38
-0.09582,0.48,0.34
-0.0958,0.48,0.34
-0.09578,0.44,0.34
-0.09576,0.44,0.34
-0.09574,0.44,0.26
-0.09572,0.4,0.3
-0.0957,0.36,0.3
-0.09568,0.36,0.22
-0.09566,0.36,0.26
-0.09564,0.36,0.26
-0.09562,0.36,0.22
-0.0956,0.32,0.22
-0.09558,0.32,0.18
-0.09556,0.28,0.18
-0.09554,0.32,0.14
-0.09552,0.28,0.18
-0.0955,0.28,0.14
-0.09548,0.24,0.14
-0.09546,0.24,0.14
-0.09544,0.24,0.09999999
-0.09542,0.24,0.09999999
-0.0954,0.2,0.09999999
-0.09538,0.16,0.09999999
-0.09536,0.2,0.06
-0.09534,0.2,0.02
-0.09532,0.12,0.02
-0.0953,0.12,0.02
-0.09528,0.12,-0.02
-0.09526,0.12,0.02
-0.09524,0.12,-0.02
-0.09522,0.12,-0.06
-0.0952,0.08,-0.02
-0.09518,0.08,-0.06
-0.09516,0.08,-0.09999999
-0.09514,0.04,-0.09999999
-0.09512,0.04,-0.09999999
-0.0951,0.04,-0.09999999
-0.09508,0,-0.09999999
-0.09506,0.04,-0.09999999
-0.09504,0,-0.14
-0.09502,0,-0.14
-0.095,0,-0.14
-0.09498,-0.04,-0.18
-0.09496,-0.08,-0.18
-0.09494,-0.08,-0.18
-0.09492,-0.08,-0.22
-0.0949,-0.12,-0.22
-0.09488,-0.08,-0.26
-0.09486,-0.12,-0.26
-0.09484,-0.12,-0.22
-0.09482,-0.16,-0.26
-0.0948,-0.16,-0.26
-0.09478,-0.16,-0.3
-0.09476,-0.16,-0.3
-0.09474,-0.24,-0.3
-0.09472,-0.24,-0.34
-0.0947,-0.24,-0.34
-0.09468,-0.2,-0.34
-0.09466,-0.24,-0.42
-0.09464,-0.24,-0.38
-0.09462,-0.28,-0.38
-0.0946,-0.28,-0.42
-0.09458,-0.32,-0.38
-0.09456,-0.28,-0.42
-0.09454,-0.32,-0.46
-0.09452,-0.32,-0.42
-0.0945,-0.32,-0.46
-0.09448,-0.36,-0.5
-0.09446,-0.4,-0.5
-0.09444,-0.4,-0.5
-0.09442,-0.4,-0.54
-0.0944,-0.4,-0.5
-0.09438,-0.44,-0.54
-0.09436,-0.44,-0.54
-0.09434,-0.44,-0.54
-0.09432,-0.44,-0.58
-0.0943,-0.48,-0.54
-0.09428,-0.48,-0.58
-0.09426,-0.48,-0.62
-0.09424,-0.48,-0.62
-0.09422,-0.52,-0.58
-0.0942,-0.56,-0.62
-0.09418,-0.56,-0.62
-0.09416,-0.56,-0.62
-0.09414,-0.56,-0.66
-0.09412,-0.56,-0.66
-0.0941,-0.56,-0.66
-0.09408,-0.6,-0.66
-0.09406,-0.56,-0.7
-0.09404,-0.64,-0.7
-0.09402,-0.64,-0.7
-0.094,-0.64,-0.74
-0.09398,-0.6,-0.7
-0.09396,-0.6,-0.7
-0.09394,-0.64,-0.74
-0.09392,-0.64,-0.74
-0.0939,-0.68,-0.74
-0.09388,-0.68,-0.78
-0.09386,-0.72,-0.74
-0.09384,-0.68,-0.78
-0.09382,-0.72,-0.78
-0.0938,-0.72,-0.78
-0.09378,-0.72,-0.78
-0.09376,-0.72,-0.82
-0.09374,-0.76,-0.82
-0.09372,-0.72,-0.86
-0.0937,-0.76,-0.82
-0.09368,-0.76,-0.82
-0.09366,-0.76,-0.86
-0.09364,-0.8,-0.82
-0.09362,-0.8,-0.82
-0.0936,-0.8,-0.86
-0.09358,-0.8,-0.86
-0.09356,-0.84,-0.86
-0.09354,-0.8,-0.86
-0.09352,-0.84,-0.86
-0.0935,-0.84,-0.86
-0.09348,-0.84,-0.86
-0.09346,-0.88,-0.86
-0.09344,-0.84,-0.9
-0.09342,-0.84,-0.86
-0.0934,-0.88,-0.9
-0.09338,-0.84,-0.9
-0.09336,-0.84,-0.9
-0.09334,-0.88,-0.9
-0.09332,-0.88,-0.9
-0.0933,-0.92,-0.86
-0.09328,-0.92,-0.9
-0.09326,-0.92,-0.9
-0.09324,-0.92,-0.94
-0.09322,-0.92,-0.94
-0.0932,-0.92,-0.94
-0.09318,-0.92,-0.94
-0.09316,-0.96,-0.94
-0.09314,-0.96,-0.94
-0.09312,-0.96,-0.94
-0.0931,-0.96,-0.94
-0.09308,-0.96,-0.94
-0.09306,-0.96,-0.9
-0.09304,-0.96,-0.94
-0.09302,-1,-0.94
-0.093,-1,-0.98
-0.09298,-1,-0.98
-0.09296,-0.96,-0.94
-0.09294,-1,-0.98
-0.09292,-1,-0.94
-0.0929,-1,-0.98
-0.09288,-1,-0.94
-0.09286,-1.04,-0.98
-0.09284,-1,-0.98
-0.09282,-1,-0.94
-0.0928,-1,-0.94
-0.09278,-1.04,-0.94
-0.09276,-1,-0.94
-0.09274,-1,-0.98
-0.09272,-1.04,-0.98
-0.0927,-1,-0.98
-0.09268,-1,-0.98
-0.09266,-1.04,-0.94
-0.09264,-1,-0.98
-0.09262,-1.08,-0.98
-0.0926,-1,-0.94
-0.09258,-1.04,-0.94
-0.09256,-1.04,-0.98
-0.09254,-1,-0.94
-0.09252,-1.04,-0.94
-0.0925,-1,-0.98
-0.09248,-1,-0.9
-0.09246,-1.04,-0.9
-0.09244,-1,-0.94
-0.09242,-1,-0.94
-0.0924,-1.04,-0.94
-0.09238,-1,-0.9
-0.09236,-1,-0.9
-0.09234,-0.96,-0.9
-0.09232,-1.04,-0.94
-0.0923,-1,-0.9
-0.09228,-1.04,-0.9
-0.09226,-1,-0.9
-0.09224,-1.04,-0.9
-0.09222,-1.04,-0.94
-0.0922,-1,-0.9
-0.09218,-1,-0.9
-0.09216,-1,-0.9
-0.09214,-1.04,-0.86
-0.09212,-1,-0.86
-0.0921,-0.96,-0.86
-0.09208,-0.96,-0.86
-0.09206,-0.96,-0.86
-0.09204,-0.96,-0.86
-0.09202,-0.96,-0.86
-0.092,-0.96,-0.86
-0.09198,-0.92,-0.86
-0.09196,-0.96,-0.86
-0.09194,-0.96,-0.82
-0.09192,-0.96,-0.82
-0.0919,-0.96,-0.82
-0.09188,-0.92,-0.82
-0.09186,-0.92,-0.82
-0.09184,-0.92,-0.82
-0.09182,-0.92,-0.78
-0.0918,-0.92,-0.78
-0.09178,-0.88,-0.82
-0.09176,-0.88,-0.78
-0.09174,-0.92,-0.78
-0.09172,-0.88,-0.74
-0.0917,-0.88,-0.74
-0.09168,-0.88,-0.78
-0.09166,-0.88,-0.74
-0.09164,-0.84,-0.74
-0.09162,-0.88,-0.74
-0.0916,-0.88,-0.7
-0.09158,-0.84,-0.74
-0.09156,-0.84,-0.7
-0.09154,-0.84,-0.7
-0.09152,-0.84,-0.7
-0.0915,-0.8,-0.7
-0.09148,-0.8,-0.66
-0.09146,-0.8,-0.66
-0.09144,-0.8,-0.66
-0.09142,-0.8,-0.66
-0.0914,-0.8,-0.62
-0.09138,-0.76,-0.62
-0.09136,-0.76,-0.62
-0.09134,-0.76,-0.62
-0.09132,-0.76,-0.62
-0.0913,-0.72,-0.62
-0.09128,-0.76,-0.58
-0.09126,-0.72,-0.58
-0.09124,-0.72,-0.54
-0.09122,-0.72,-0.54
-0.0912,-0.72,-0.54
-0.09118,-0.64,-0.54
-0.09116,-0.68,-0.5
-0.09114,-0.68,-0.5
-0.09112,-0.64,-0.5
-0.0911,-0.64,-0.5
-0.09108,-0.64,-0.46
-0.09106,-0.6,-0.46
-0.09104,-0.6,-0.42
-0.09102,-0.56,-0.42
-0.091,-0.56,-0.42
-0.09098,-0.6,-0.42
-0.09096,-0.56,-0.42
-0.09094,-0.52,-0.38
-0.09092,-0.6,-0.34
-0.0909,-0.56,-0.34
-0.09088,-0.56,-0.34
-0.09086,-0.52,-0.34
-0.09084,-0.52,-0.34
-0.09082,-0.52,-0.34
-0.0908,-0.48,-0.3
-0.09078,-0.48,-0.26
-0.09076,-0.44,-0.3
-0.09074,-0.48,-0.26
-0.09072,-0.48,-0.26
-0.0907,-0.44,-0.22
-0.09068,-0.4,-0.22
-0.09066,-0.4,-0.22
-0.09064,-0.36,-0.22
-0.09062,-0.36,-0.18
-0.0906,-0.36,-0.18
-0.09058,-0.36,-0.14
-0.09056,-0.32,-0.18
-0.09054,-0.36,-0.14
-0.09052,-0.32,-0.14
-0.0905,-0.32,-0.14
-0.09048,-0.24,-0.09999999
-0.09046,-0.28,-0.09999999
-0.09044,-0.28,-0.09999999
-0.09042,-0.24,-0.09999999
-0.0904,-0.24,-0.06
-0.09038,-0.2,-0.02
-0.09036,-0.24,-0.02
-0.09034,-0.2,-0.02
-0.09032,-0.2,-0.02
-0.0903,-0.2,-0.02
-0.09028,-0.16,0.02
-0.09026,-0.12,0.06
-0.09024,-0.12,0.02
-0.09022,-0.12,0.06
-0.0902,-0.16,0.06
-0.09018,-0.08,0.09999999
-0.09016,-0.04,0.06
-0.09014,-0.08,0.09999999
-0.09012,-0.04,0.14
-0.0901,-0.04,0.14
-0.09008,0,0.14
-0.09006,0,0.14
-0.09004,-0.04,0.14
-0.09002,0,0.18
-0.09,0,0.22
-0.08998,0,0.22
-0.08996,0.04,0.22
-0.08994,0.04,0.22
-0.08992,0.04,0.26
-0.0899,0.08,0.22
-0.08988,0.04,0.26
-0.08986,0.12,0.3
-0.08984,0.08,0.26
-0.08982,0.08,0.3
-0.0898,0.12,0.3
-0.08978,0.16,0.34
-0.08976,0.12,0.3
-0.08974,0.16,0.38
-0.08972,0.16,0.34
-0.0897,0.16,0.38
-0.08968,0.2,0.42
-0.08966,0.2,0.42
-0.08964,0.24,0.42
-0.08962,0.24,0.42
-0.0896,0.24,0.46
-0.08958,0.24,0.46
-0.08956,0.28,0.42
-0.08954,0.32,0.46
-0.08952,0.32,0.46
-0.0895,0.32,0.46
-0.08948,0.36,0.5
-0.08946,0.28,0.46
-0.08944,0.36,0.54
-0.08942,0.36,0.5
-0.0894,0.4,0.5
-0.08938,0.36,0.54
-0.08936,0.36,0.54
-0.08934,0.4,0.58
-0.08932,0.4,0.58
-0.0893,0.4,0.58
-0.08928,0.44,0.58
-0.08926,0.44,0.62
-0.08924,0.44,0.62
-0.08922,0.52,0.62
-0.0892,0.48,0.62
-0.08918,0.48,0.62
-0.08916,0.52,0.62
-0.08914,0.48,0.66
-0.08912,0.52,0.66
-0.0891,0.52,0.7
-0.08908,0.56,0.74
